Date,Price
01.02.2023,"78,84"
01.01.2023,"79,15"
01.12.2022,"80,47"
01.11.2022,"80,56"
01.10.2022,"86,53"
01.09.2022,"79,49"
01.08.2022,"89,55"
01.07.2022,"98,62"
01.06.2022,"105,76"
01.05.2022,"114,67"
01.04.2022,"104,69"
01.03.2022,"100,28"
01.02.2022,"95,72"
01.01.2022,"88,15"
01.12.2021,"75,21"
01.11.2021,"66,18"
01.10.2021,"83,57"
01.09.2021,"75,03"
01.08.2021,"68,50"
01.07.2021,"73,95"
01.06.2021,"73,47"
01.05.2021,"66,32"
01.04.2021,"63,58"
01.03.2021,"59,16"
01.02.2021,"61,50"
01.01.2021,"52,20"
01.12.2020,"48,52"
01.11.2020,"45,34"
01.10.2020,"35,79"
01.09.2020,"40,22"
01.08.2020,"42,61"
01.07.2020,"40,27"
01.06.2020,"39,27"
01.05.2020,"35,49"
01.04.2020,"18,84"
01.03.2020,"20,48"
01.02.2020,"44,76"
01.01.2020,"51,56"
01.12.2019,"61,06"
01.11.2019,"55,17"
01.10.2019,"54,18"
01.09.2019,"54,07"
01.08.2019,"55,10"
01.07.2019,"58,58"
01.06.2019,"58,47"
01.05.2019,"53,50"
01.04.2019,"63,91"
01.03.2019,"60,14"
01.02.2019,"57,22"
01.01.2019,"53,79"
01.12.2018,"45,41"
01.11.2018,"50,93"
01.10.2018,"65,31"
01.09.2018,"73,25"
01.08.2018,"69,80"
01.07.2018,"68,76"
01.06.2018,"74,15"
01.05.2018,"67,04"
01.04.2018,"68,57"
01.03.2018,"64,94"
01.02.2018,"61,64"
01.01.2018,"64,73"
01.12.2017,"60,42"
01.11.2017,"57,40"
01.10.2017,"54,38"
01.09.2017,"51,67"
01.08.2017,"47,23"
01.07.2017,"50,17"
01.06.2017,"46,04"
01.05.2017,"48,32"
01.04.2017,"49,33"
01.03.2017,"50,60"
01.02.2017,"54,01"
01.01.2017,"52,81"
